# ZND: DETONATION STRUCTURE CALCULATION
# CALCULATION RUN ON 30-Apr-2026

# INITIAL CONDITIONS
# TEMPERATURE (K) 300.0
# PRESSURE (atm) 1.0
# DENSITY (kg/m^3) 8.3836e-01
# SHOCK SPEED (m/s) 3000.00

# REACTION ZONE STRUCTURE

# Induction Times
# Time to Peak Thermicity =   1.7660e-08 s
# Distance to Peak Thermicity =   8.1786e-06 m

# Exothermic/Reaction Times
# Time of Reaction based on Thermicity Pulse Width =   2.3355e-08 s
# Length of Reaction based on Thermicity Pulse Width =   1.1551e-05 m
# THE OUTPUT DATA COLUMNS ARE:
Variables = Distance (m), Velocity (m/s), Sound Speed (m/s), Gamma, Weight (kg/mol),c^2-U^2 (m/s)
   0.00000e+00 	    4.60845e+02 	    1.23591e+03 	    1.28523e+00 	    2.09116e+01 	    1.31510e+06
   7.57712e-09 	    4.60843e+02 	    1.23591e+03 	    1.28523e+00 	    2.09116e+01 	    1.31509e+06
   1.51542e-08 	    4.60840e+02 	    1.23591e+03 	    1.28523e+00 	    2.09116e+01 	    1.31509e+06
   2.27312e-08 	    4.60838e+02 	    1.23590e+03 	    1.28523e+00 	    2.09116e+01 	    1.31508e+06
   4.90106e-08 	    4.60828e+02 	    1.23589e+03 	    1.28523e+00 	    2.09116e+01 	    1.31507e+06
   7.52894e-08 	    4.60819e+02 	    1.23588e+03 	    1.28523e+00 	    2.09116e+01 	    1.31505e+06
   1.01568e-07 	    4.60810e+02 	    1.23587e+03 	    1.28524e+00 	    2.09116e+01 	    1.31504e+06
   1.27845e-07 	    4.60801e+02 	    1.23586e+03 	    1.28524e+00 	    2.09116e+01 	    1.31502e+06
   1.70342e-07 	    4.60785e+02 	    1.23585e+03 	    1.28524e+00 	    2.09116e+01 	    1.31499e+06
   2.12837e-07 	    4.60770e+02 	    1.23583e+03 	    1.28524e+00 	    2.09116e+01 	    1.31497e+06
