# ZND: DETONATION STRUCTURE CALCULATION
# CALCULATION RUN ON 30-Apr-2026

# INITIAL CONDITIONS
# TEMPERATURE (K) 300.0
# PRESSURE (atm) 1.0
# DENSITY (kg/m^3) 8.3836e-01
# SHOCK SPEED (m/s) 3000.00

# Induction Times
# Time to Peak Thermicity =   1.7660e-08 s
# Distance to Peak Thermicity =   8.1786e-06 m

# Exothermic/Reaction Times
# Exothermic Pulse Time =   2.3355e-08 s
# Exothermic Pulse Distance =   1.1551e-05 m
# REACTION ZONE STRUCTURE

# THE OUTPUT DATA COLUMNS ARE:
Variables = Distance (m), Mach Number, Time (s), Pressure (atm), Temperature (K), Density (kg/m^3), Thermicity (1/s)
   2.79737e-06 	    3.72460e-01 	    6.07654e-09 	    6.48834e+06 	    2.98381e+03 	    5.46761e+00 	   -3.75692e+04
   2.98005e-06 	    3.72460e-01 	    6.47368e-09 	    6.48835e+06 	    2.98376e+03 	    5.46762e+00 	    2.75823e+04
   3.16274e-06 	    3.72468e-01 	    6.87082e-09 	    6.48831e+06 	    2.98380e+03 	    5.46746e+00 	    1.02035e+05
   3.34543e-06 	    3.72484e-01 	    7.26797e-09 	    6.48823e+06 	    2.98394e+03 	    5.46710e+00 	    1.86617e+05
   3.52814e-06 	    3.72510e-01 	    7.66511e-09 	    6.48811e+06 	    2.98420e+03 	    5.46651e+00 	    2.82204e+05
   3.71088e-06 	    3.72548e-01 	    8.06225e-09 	    6.48793e+06 	    2.98460e+03 	    5.46567e+00 	    3.89731e+05
   3.89365e-06 	    3.72597e-01 	    8.45940e-09 	    6.48769e+06 	    2.98515e+03 	    5.46453e+00 	    5.10210e+05
   4.10003e-06 	    3.72671e-01 	    8.90773e-09 	    6.48734e+06 	    2.98598e+03 	    5.46287e+00 	    6.63158e+05
   4.30648e-06 	    3.72764e-01 	    9.35606e-09 	    6.48689e+06 	    2.98706e+03 	    5.46074e+00 	    8.35705e+05
   4.51302e-06 	    3.72881e-01 	    9.80439e-09 	    6.48633e+06 	    2.98843e+03 	    5.45810e+00 	    1.02965e+06
   4.71967e-06 	    3.73023e-01 	    1.02527e-08 	    6.48564e+06 	    2.99013e+03 	    5.45487e+00 	    1.24688e+06
   4.92645e-06 	    3.73195e-01 	    1.07011e-08 	    6.48482e+06 	    2.99219e+03 	    5.45099e+00 	    1.48904e+06
   5.13340e-06 	    3.73398e-01 	    1.11494e-08 	    6.48384e+06 	    2.99466e+03 	    5.44639e+00 	    1.75732e+06
   5.34053e-06 	    3.73637e-01 	    1.15977e-08 	    6.48268e+06 	    2.99759e+03 	    5.44099e+00 	    2.05214e+06
   5.51207e-06 	    3.73864e-01 	    1.19686e-08 	    6.48159e+06 	    3.00040e+03 	    5.43588e+00 	    2.31543e+06
   5.68378e-06 	    3.74120e-01 	    1.23396e-08 	    6.48036e+06 	    3.00358e+03 	    5.43013e+00 	    2.59469e+06
   5.85568e-06 	    3.74405e-01 	    1.27105e-08 	    6.47898e+06 	    3.00716e+03 	    5.42371e+00 	    2.88753e+06
   6.02780e-06 	    3.74722e-01 	    1.30814e-08 	    6.47745e+06 	    3.01117e+03 	    5.41661e+00 	    3.19034e+06
   6.20015e-06 	    3.75072e-01 	    1.34523e-08 	    6.47576e+06 	    3.01561e+03 	    5.40880e+00 	    3.49841e+06
   6.37277e-06 	    3.75454e-01 	    1.38233e-08 	    6.47392e+06 	    3.02050e+03 	    5.40027e+00 	    3.80624e+06
   6.54566e-06 	    3.75869e-01 	    1.41942e-08 	    6.47191e+06 	    3.02585e+03 	    5.39105e+00 	    4.10745e+06
   6.72333e-06 	    3.76328e-01 	    1.45746e-08 	    6.46970e+06 	    3.03180e+03 	    5.38089e+00 	    4.40255e+06
   6.90134e-06 	    3.76818e-01 	    1.49551e-08 	    6.46733e+06 	    3.03821e+03 	    5.37007e+00 	    4.67664e+06
   7.07971e-06 	    3.77337e-01 	    1.53356e-08 	    6.46482e+06 	    3.04505e+03 	    5.35864e+00 	    4.92304e+06
   7.25848e-06 	    3.77883e-01 	    1.57160e-08 	    6.46218e+06 	    3.05229e+03 	    5.34669e+00 	    5.13655e+06
   7.43766e-06 	    3.78451e-01 	    1.60965e-08 	    6.45943e+06 	    3.05988e+03 	    5.33429e+00 	    5.31368e+06
   7.61726e-06 	    3.79038e-01 	    1.64770e-08 	    6.45659e+06 	    3.06778e+03 	    5.32154e+00 	    5.45257e+06
